OTU ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,41,42,43,44,45,46,47,48,49,50,52,53,56,57,58,59,60,61,62,64,65,66,67,68,69,70,71,72,73,79,80,81,82,83,84,86,87,88,89,90,91,92,93,95,96,97,98,99,100,101,102,103,104,105,112,113,114,115,117,118,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,157,158,159,160,161,164,166,167,169,170,171,172,173,174,175,176,177,179,180,181,182,183,185,186,187,189,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,208,209,210,211,212,213,214,215,216,217,218,219,221,222,223,224,225,226,227,228,229,231,232,233,235,236,237,238,239,240,241,243,244,245,246,247,248,249,250,251,252,253,255,256,257,258,259,260,262,263,264,266,268,269,271,272,273,275,276,279,281,282,285,286,287,290,292,294,295,296,297,299,300,301,302,303,306,307,308,309,311,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,330,331,332,333,334,335,336,337,338,340,341,343,344,345,348,349,351,352,353,355,356,358,360,361,362,363,364,366,368,369,370,371,372,373,374,375,376,377,378,379,381,382,384,385,386,388,389,390,391,396,398,400,401,406,410,412,413,414,415,416,417,418,421,438,439,442
k__Archaea;p__Euryarchaeota;c__Methanobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
k__Bacteria;p__Acidobacteria;c__Solibacteres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class),8,74,72,3,382,178,118,34,10,596,10,664,292,19,1114,456,469,527,750,11,841,8,5,38,12,12,26,40,13,23,10,19,1056,12,31,17,160,10,5,3,4,8,758,19,750,33,9,18,26,17,20,37,19,44,37,36,55,51,25,24,1384,23,27,108,19,38,33,119,34,7,14,24,18,16,27,36,236,22,183,27,16,4,19,10,13,17,840,17,31,50,47,54,20,44,35,79,69,27,16,32,30,1734,24,1113,16,21,18,9,27,13,31,17,37,36,36,62,29,28,20,23,175,30,26,1345,151,44,1997,49,45,77,35,57,119,1019,16,19,55,27,128,955,2637,14,2820,1233,30,23,74,37,44,35,22,13,72,16,15,25,16,14,21,28,20,77,39,37,44,42,36,26,2079,28,35,9,759,363,25,21,606,17,20,15,1643,9,9,10,316,18,18,38,717,35,27,26,35,191,27,20,35,24,10,17,30,31,29,28,21,980,14,21,25,6,39,720,48,127,29,31,55,6,9,28,19,44,30,109,24,33,20,718,433,21,103,65,33,87,484,25,8,10,8,22,30,270,13,4,85,38,12,9,12,646,32,32,33,21,26,498,2200,51,51,114,42,28,21,27,320,40,954,62,21,68,15,17,8,21,24,51,104,1162,32,65,77,30,28,17,34,8,12,27,18,18,33,21,45,10,7,11,15,30,21,13,1772,906,14,19,1097,17,24,2,10,11,16,741,22,61,31,28,8,37,307,27,24,2,8,16,58,38,18,16,612,8,8,10
k__Bacteria;p__Bacteroidetes;c__Bacteroidia,27779,19856,24260,29209,18669,23365,20352,26111,29065,15726,26049,21633,33903,20401,18117,16777,21240,20029,15252,30749,19683,24843,22258,20051,25660,27135,21438,20252,27344,26215,26581,23447,16341,17331,24516,24454,16424,21125,18387,16316,21564,19562,11634,29726,12178,24307,20827,23428,21855,21520,24699,32098,26206,24917,27003,23257,20485,20158,31462,27085,15591,30124,30489,24772,34259,31930,34286,25807,26342,27512,29895,28479,29261,27459,32043,30000,17553,23759,17086,23371,27655,23960,32700,26228,24920,25989,16528,20213,24905,32884,30523,23168,23161,31690,24101,24489,23618,24686,23575,20825,25372,16856,24709,14634,22812,25561,22502,22678,28576,20065,23498,23757,26560,25552,20148,22659,23551,18380,22850,18752,20455,21146,20928,14969,19060,18498,13379,22907,24600,18973,22571,27446,25608,23047,33503,28921,21033,28886,20370,16843,20965,17839,15352,18839,19346,25233,25339,24605,30048,35330,32045,31003,29217,36184,39099,33414,31370,37637,28035,29711,27870,33844,38453,35467,36684,33995,38801,36081,12366,28894,31103,33876,22615,28226,28693,25735,18674,31227,23921,33416,25002,32268,27204,25581,15364,25247,26662,40048,22640,28945,26408,24078,23012,34078,30436,28285,34451,29578,26880,29525,24023,23746,30969,31073,27716,16177,26562,26848,28410,30067,33417,23680,20944,41312,35574,26670,28573,32540,33011,36899,26942,30854,29590,14552,25735,31376,26892,20458,20889,28577,7434,12658,20323,32607,17402,14802,23701,35332,35868,30381,43513,20033,31849,30322,24622,29205,37681,45783,35799,14131,31754,23016,23553,30606,28683,25960,16275,34111,30463,32068,37614,45121,39056,43597,29396,29648,17981,29656,21046,38986,39478,35916,17567,35795,32893,28380,25220,13745,44617,35384,37094,30931,33275,27986,35743,33923,27843,29519,33886,27385,27410,29138,31468,32218,37910,32454,38137,37320,33747,39867,17856,19065,34686,30796,16167,33209,29977,27013,30389,29031,30960,17147,23074,23089,31497,31258,28037,30484,16677,34675,41593,40668,45270,37592,30438,40303,39309,31185,25644,34717,36568,39711
k__Bacteria;p__Bacteroidetes;c__Flavobacteria,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteria,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
k__Bacteria;p__Cyanobacteria;c__,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,3,3,1,1,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,5,2,0,1,0,1,2,0,0,9,0,0,1,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,1,0,3,0,0,3,3,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,12,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,2,2,0,0,0,0,0,0,0,3,1,2,0,2,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,8,0,0,1,1,2,2,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,2,2,0,2,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0
k__Bacteria;p__Cyanobacteria;c__mle1-12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli,11,51,8,26,105,16,22,30,4,8,11,14,49,59,57,32,10,22,3,35,18,9,4,44,48,39,16,14,13,6,95,88,13,23,7,66,41,44,8,3,7,2,39,82,39,24,12,22,55,50,32,32,55,84,20,16,52,82,11,41,43,50,73,42,114,34,31,18,4,23,31,8,9,54,51,23,75,89,45,55,55,8,25,40,69,43,99,8,22,39,175,15,5,28,8,10,7,41,20,82,10,31,15,28,12,19,11,22,24,75,52,48,98,117,26,28,24,43,30,23,54,15,50,47,125,66,49,56,44,64,23,51,177,11,121,27,51,7,31,16,29,14,29,133,36,53,46,25,45,27,13,69,31,10,3,28,34,7,4,6,8,66,31,16,119,124,15,8,72,69,81,49,48,23,14,32,18,6,72,37,44,15,4,1,28,20,52,18,18,19,12,20,11,28,15,63,63,18,15,8,159,34,51,24,87,55,30,32,24,11,25,27,57,24,24,18,8,3,4,6,9,19,46,162,41,21,22,21,58,4,64,6,2,0,7,1,9,2,7,51,10,172,109,20,42,121,46,76,41,24,20,20,14,15,12,22,93,46,7,7,5,9,9,10,9,9,20,18,5,41,5,5,7,8,11,28,19,32,7,35,20,17,22,18,73,8,27,7,20,18,12,40,80,29,18,17,6,24,10,11,34,10,10,15,14,12,34,13,31,18,43,30,18,14,20,5,50,22,19,20,6,10,8,10,21,13,8,31,38,28,31,3
k__Bacteria;p__Firmicutes;c__Clostridia,10097,12188,10234,13548,23142,15543,11596,9889,8535,14901,8073,14258,20198,10854,20289,14035,18340,17651,10028,14721,15023,11510,11421,13537,10643,11156,14454,14474,13408,11938,12202,11795,16921,15683,13133,10841,12560,10358,10020,3636,8346,8707,15884,9906,19399,9811,6648,8677,8286,12660,12752,13439,16671,17641,14503,14234,15277,17137,16461,15459,24299,11872,11103,17812,12687,15869,12317,11678,13523,9493,11209,11947,11792,12059,11704,10905,15425,13500,17678,14291,12345,5108,12381,8877,9867,10195,23759,14178,12550,14254,14670,12974,10188,14780,13352,14762,13419,12724,15700,19175,11771,23110,13281,22655,11645,11761,10256,9425,11282,9180,13159,17502,16163,15714,11407,15025,13089,10885,7598,9213,14780,16858,13090,21522,13394,12252,24301,11918,13568,18570,14582,13122,18839,16853,14406,11744,13927,14885,19141,13051,21776,13845,23216,11650,14248,18869,21007,22679,19587,18568,13383,13232,13836,14106,10050,15976,16813,13270,13396,12101,14010,12432,10436,12132,15520,14948,9692,7165,25357,14676,12651,15445,23079,17405,13275,14868,18135,17078,17789,13310,33054,9221,10255,7398,21707,16185,13745,19228,23299,20028,14217,14364,14515,15389,13158,15962,14090,18066,13325,11118,14428,16450,16985,11701,12865,17399,9933,11612,13867,11721,15812,18594,8065,13019,12499,12672,13888,7891,9745,10688,11700,13669,14596,18679,15985,19000,13634,21421,10456,9522,7084,5963,7374,15563,17823,7287,14368,10375,9131,15638,14048,25851,20539,18106,17525,19026,20565,16511,16465,15699,16882,18537,20509,15596,21755,30142,29675,19028,17998,17349,10455,8524,11971,15417,16400,12746,17513,15249,3543,17096,8438,12134,11381,9974,12637,13797,27847,22441,13354,20843,18622,12378,12029,15286,12945,6626,20611,15566,10254,14458,16858,12248,20122,10923,9668,7414,10424,17653,14910,14908,30886,22724,11305,20877,19698,14117,15537,2892,8121,13256,12272,24333,16440,21919,17052,18482,14989,12663,18383,12560,13391,14604,12500,13291,20812,12835,11046,15597,27918,11024,10977,7549
