OTU ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,42,43,44,45,46,48,49,50,51,53,54,56,57,58,61,62,71,72,81,82,83,84,85,90,91,92,93,95,96,97,99,100,101,102,103,104,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,155,156,157,158,159,161,166,167,171,172,173,174,177,178,179,180,181,182,183,184,185
k__Archaea;p__Euryarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Acidobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria,2,0,0,1,2,2,1,0,0,4,0,3,3,1,1,2,0,1,6,1,1,30,6,0,8,5,12,8,8,19,9,0,5,3,1,3,3,2,3,6,10,4,122,21,17,5,8,10,10,13,52,15,12,8,7,4,14,11,17,15,0,2,18,8,5,7,12,6,2,3,12,7,3,49,5,19,10,48,25,1,25,61,58,57,5,2,19,8,66,5,65,18,21,7,30,4,8,9,35,68,62,72,8,32,35,54,11,305,8,13,66,31,20,34,24,71,8,19,11,6,6,12,44,51,4,17,7,9,19,43
k__Bacteria;p__Bacteroidetes,31722,16261,14268,15766,11944,12930,23146,24469,26567,21339,28647,21945,22979,25919,20987,19969,12832,23065,21104,27188,18715,24426,21928,26398,18072,17429,23683,20806,20470,19065,25422,25154,19449,17378,16483,19879,17415,16109,21154,32534,26118,22346,16001,21372,18096,15130,17781,21559,24684,17071,18656,24899,22065,18356,21558,22659,16692,20944,20563,14118,20215,13750,31117,20217,23369,23090,20832,21153,23331,22688,26896,28249,28153,18673,23644,24806,21739,18944,27342,17729,16157,18762,20501,27738,34011,23386,25693,26535,14049,18747,22270,22196,20283,21954,27795,22540,20225,29485,21904,16366,16810,23631,22794,22456,15121,25103,19073,10400,20572,27272,18253,22869,17546,17500,19256,19164,23888,34488,26426,22220,14088,13831,16017,23291,24252,22057,22855,27708,22768,21497
k__Bacteria;p__Cyanobacteria,0,0,0,0,2,1,1,0,0,0,1,0,0,15,1,0,0,0,0,1,0,0,1,0,0,5,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,0,1,1,0,0,0,0,0,0,1,28,3,0,1,0,0,1,0,32,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,1,0,1,6,0,0,1,0,0,1,6,6,4,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,17,0,0,0,0,0,0,0,0,2
k__Bacteria;p__Firmicutes,4228,4882,4130,8108,8156,3448,7407,9124,7852,7498,12526,7080,7068,6578,10854,6200,5399,7209,6022,8840,8608,9329,4968,6391,6510,6421,6611,4591,7108,5326,8772,10918,11637,12563,7255,14950,9722,7431,11038,16127,12930,11394,19153,11150,12417,4884,11884,12269,7241,6915,8267,10354,8788,9071,8743,17275,11049,10871,14743,16617,10419,7673,11335,12641,10585,9451,11091,6450,6946,9062,10642,8978,10007,11735,12743,10433,6985,5766,15181,10825,7895,14536,14826,13402,10743,12939,7744,11534,14011,6614,13179,8791,12564,12245,13167,14368,9721,12212,10737,16830,12913,12590,12433,14556,13572,13589,11026,15919,12025,16319,12107,13628,11826,12504,9089,11720,14656,15001,15182,17260,14428,7900,9197,9683,10044,19341,12423,9252,7975,12242
k__Bacteria;p__Fusobacteria,0,0,1,0,0,0,0,0,1,1,2,0,1,99,32,11,0,14,48,3,0,921,10,8,21,4,1,0,14,5,1,2,4,22,1,1,0,10,2,5,0,0,6,1,34,7,6,17,3,1,45,1,0,0,0,0,0,1,0,2,0,1,0,0,0,4,0,40,0,1,0,0,0,2,1,0,0,100,6,0,28,1,46,85,13,0,0,0,3,1,19,1,3,0,190,0,1,1,0,103,1,7,120,1,1,56,3,5,0,0,40,0,0,1,2,3,1,0,0,0,44,1,7,11,0,5,0,0,1,1
k__Bacteria;p__OP10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria,5003,2612,2087,5057,1277,2411,1253,487,2447,479,629,881,1975,1673,278,3615,418,920,1261,270,460,2238,2320,713,4810,589,578,1311,284,1834,953,1018,1361,2130,10284,3347,7531,9101,3537,4851,6079,1527,2517,3022,1332,1029,2372,1211,1088,1061,4407,602,1364,1034,1073,857,792,1377,813,1369,539,557,2140,1090,699,654,523,1108,329,1192,1527,1055,1219,1187,1363,696,956,2435,1460,339,3192,823,4020,620,1119,1458,1118,416,545,376,697,782,699,409,646,513,894,1373,2174,1349,835,2457,611,673,744,1281,684,1025,624,923,1172,561,1188,1135,1144,1203,1472,1171,1140,646,551,530,1208,587,884,1149,496,1660,1543,779
k__Bacteria;p__Synergistetes,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__TM7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
