OTU ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,42,43,44,45,46,48,49,50,51,53,54,56,57,58,61,62,71,72,81,82,83,84,85,90,91,92,93,95,96,97,99,100,101,102,103,104,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,155,156,157,158,159,161,166,167,171,172,173,174,177,178,179,180,181,182,183,184,185
k__Archaea;p__Euryarchaeota;c__Methanobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Acidobacteria;c__Solibacteres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
k__Bacteria;p__Actinobacteria;c__Actinobacteria (class),2,0,0,1,2,2,1,0,0,4,0,3,3,1,1,2,0,1,6,1,1,30,6,0,8,5,12,8,8,19,9,0,5,3,1,3,3,2,3,6,10,4,122,21,17,5,8,10,10,13,52,15,12,8,7,4,14,11,17,15,0,2,18,8,5,7,12,6,2,3,12,7,3,49,5,19,10,48,25,1,25,61,58,57,5,2,19,8,66,5,65,18,21,7,30,4,8,9,35,68,62,72,8,32,35,54,11,305,8,13,66,31,20,34,24,71,8,19,11,6,6,12,44,51,4,17,7,9,19,42
k__Bacteria;p__Bacteroidetes;c__Bacteroidia,31722,16261,14268,15766,11944,12930,23146,24469,26567,21339,28647,21945,22979,25919,20987,19969,12832,23065,21104,27188,18715,24426,21928,26398,18072,17429,23683,20806,20470,19065,25422,25154,19449,17378,16483,19879,17415,16109,21154,32534,26118,22346,16001,21372,18095,15130,17781,21559,24684,17071,18656,24899,22065,18356,21558,22659,16692,20944,20563,14118,20215,13750,31117,20217,23368,23090,20832,21153,23331,22688,26896,28249,28153,18671,23644,24806,21739,18944,27342,17729,16157,18761,20501,27738,34011,23386,25693,26535,14048,18747,22270,22196,20283,21954,27795,22540,20225,29485,21904,16365,16810,23631,22793,22456,15120,25103,19073,10400,20572,27272,18253,22869,17546,17500,19256,19164,23888,34488,26426,22220,14088,13831,16017,23291,24252,22057,22855,27708,22768,21494
k__Bacteria;p__Bacteroidetes;c__Flavobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
k__Bacteria;p__Bacteroidetes;c__Sphingobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
k__Bacteria;p__Cyanobacteria;c__,0,0,0,0,2,1,1,0,0,0,1,0,0,15,1,0,0,0,0,1,0,0,1,0,0,5,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,0,1,1,0,0,0,0,0,0,1,28,3,0,0,0,0,1,0,32,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,1,6,0,0,1,0,0,1,6,6,4,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,17,0,0,0,0,0,0,0,0,2
k__Bacteria;p__Cyanobacteria;c__mle1-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli,1,4,29,3,20,8,131,26,72,31,32,23,24,11,23,4,15,19,11,16,3,32,11,17,48,7,13,8,9,11,30,21,22,17,9,20,10,3,6,10,45,32,207,42,38,12,37,7,58,19,14,59,35,62,44,28,11,11,25,770,19,14,223,143,58,77,50,10,8,18,15,41,7,2,20,24,2,8,27,32,38,29,21,17,49,45,26,12,34,6,103,27,4,45,44,40,17,16,47,27,39,19,11,45,47,82,25,17,7,40,28,15,27,17,64,40,71,122,80,132,26,24,14,8,9,23,16,159,39,64
k__Bacteria;p__Firmicutes;c__Clostridia,4227,4878,4101,8105,8136,3440,7276,9098,7780,7467,12494,7057,7044,6567,10831,6196,5384,7190,6011,8824,8605,9297,4957,6374,6462,6414,6598,4583,7099,5315,8742,10897,11615,12546,7246,14930,9712,7428,11032,16117,12885,11362,18946,11108,12379,4872,11847,12262,7183,6896,8253,10295,8753,9009,8699,17247,11038,10860,14718,15847,10400,7659,11112,12498,10527,9374,11041,6440,6938,9044,10627,8937,10000,11733,12723,10409,6983,5758,15154,10793,7857,14507,14805,13385,10694,12894,7718,11522,13977,6608,13076,8764,12560,12200,13123,14328,9704,12196,10690,16803,12874,12571,12422,14511,13525,13507,11001,15902,12018,16279,12079,13613,11799,12487,9025,11680,14585,14879,15102,17128,14402,7876,9183,9675,10035,19318,12407,9093,7936,12178
