date,Akkermansiamuciniphila,Alistipesputredinis,Bacteroidesacidifaciens,Bacteroidesfragilis,Bacteroidesstercoris,Bacteroidesthetaiotaomicron,Bacteroidesuniformis,Bacteroidesvulgatus,Escherichiacoli,Eubacteriumrectale,Faecalibacteriumprausnitzii,Parabacteroidesdistasonis,Roseburiaintestinalis,Sisymbriumirio
0,0.004108137,2.65041E-05,0.003896104,0.000212033,0.023138086,0.224569308,0.135542009,0.472223695,0.121441823,0.009780016,0.000106016,2.65041E-05,0.000848131,0.004081633
1,0.388480058,3.02838E-05,0.02465098,0.000393689,0.003240362,0.127767178,0.085339632,0.254958966,0.064201569,0.016777202,3.02838E-05,6.05675E-05,0.0059659,0.028103328
2,0.380782283,0,0.094159671,0.000250045,0.001643151,0.053366673,0.051687801,0.311912842,0.062332559,0.019789248,7.14413E-05,3.57207E-05,0.001321665,0.022646901
3,0.258015465,0,0.088388495,0.000226471,0.002750008,0.088388495,0.029764793,0.323853894,0.158303407,0.030605972,0.000420589,0,0.017308874,0.001973535
4,0.301767677,0,0.056433904,0.00016469,0.000109794,0.023001757,0.02157444,0.222798639,0.02807971,0.019460913,0.00137242,0,0.098375055,0.226861001
5,0.37985351,0,0.023991843,0.034083815,8.32328E-05,0.013837446,0.012588955,0.190145241,0.03943152,0.005951142,0.001102834,0,0.014648966,0.284281493
6,0.328841409,0,0.18307499,0.003072197,0.012288786,0.026718801,0.030349579,0.290252758,0.029022948,0.004142811,0.03477168,2.32742E-05,0.022622539,0.034818228
7,0.062920079,2.82406E-05,0.268455239,0,0.00231573,0.06156453,0.052499294,0.288449591,0.008500424,0.042078509,0.135583169,8.47218E-05,0.022620729,0.054899746
8,0.061917661,0,0.219986307,0.00172655,0.003423332,0.113892775,0.038311553,0.388890543,0.067394993,0.012294228,0.051856041,2.97681E-05,0.039472509,0.000803739
9,0.175948011,0,0.146462028,0.01310104,0.01880466,0.063742266,0.033737772,0.258149262,0.006014726,0.018528121,0.078813647,6.91348E-05,0.031283487,0.155345847
10,0.060156138,0,0.131423919,0.002873701,0.065065377,0.077374395,0.055079266,0.372862685,0.00854926,0.016499832,0.169883615,2.39475E-05,0.037142583,0.003065281
11,0.204857416,0,0.200814003,0.014471164,0.006703554,0.035300064,0.049771228,0.277958076,0.01306129,0.019525431,0.017264312,5.32028E-05,0.019179613,0.141040647
12,0.125984864,0,0.134926394,0,0.00596102,0.026072984,0.026435828,0.408433548,0.043385859,0.033848227,0.084361393,0.00010367,0.006894049,0.103592163
13,0.172049821,5.2776E-05,0.17059848,0.0006597,0.017073042,0.03910703,0.041956935,0.420809584,0.038025121,0.007203927,0.036626557,2.6388E-05,0.025464429,0.030346211
14,0.14888895,0,0.182151958,0,0.031673836,0.0505795,0.051209688,0.296791517,0.005562101,0.029290079,0.051839877,0,0.010713209,0.141299285
15,0.127882807,0.000131974,0.236827345,6.5987E-05,0.025998878,0.147447953,0.068824442,0.209508727,0.115609225,0.01451714,0.034709162,0,0.017981458,0.000494903
16,0.367718447,0,0.116340855,0.001213592,0.000491997,0.031684597,0.06090921,0.22661375,0.008429546,0.008593545,0.021385463,0,0.011643925,0.144975072
17,0.079197171,0.000372255,0.187740414,0.000682467,0.04454647,0.060708525,0.057916615,0.410813997,0.018612731,0.022273235,0.06899119,0,0.007817347,0.040327584
18,0.163103159,0.000258381,0.206640398,0.001840966,0.030973451,0.07547962,0.048155804,0.337026032,0.034687682,0.011110393,0.037368387,0,0.030553582,0.022802145
20,0,0,0.644927536,0,0,0.355072464,0,0,0,0,0,0,0,0
21,0,0.000137348,0.061635134,0.112969131,0.000858428,0.129176252,0.090134945,0.375236068,0.054767709,0.035470247,0.106273392,0.000206023,0.032860626,0.000274697
22,0.268078277,0.000311385,0.099667058,0.046851422,0.002083882,0.013868596,0.023281995,0.347912525,0.031569618,0.004024048,0.004000096,0.000958107,0.010634985,0.146758006
23,0.089253784,0,0.187851009,0.013297403,0.077870401,0.043216561,0.075830458,0.353791523,0.016344725,0.036744151,0.020097212,0,0.004205808,0.081496965
24,0.131749263,9.11549E-05,0.052110237,0.063595758,0,0.022879888,0.055877974,0.354319225,0.128072681,0.01379478,0.022606423,0,0.043085898,0.111816718
25,0,0,0.117977528,0.880149813,0,0.001872659,0,0,0,0,0,0,0,0
26,0.141778631,0,0.191605886,0.020319898,0.009161868,0.040639795,0.07534229,0.292386436,0.007319258,0.013307742,0.045988484,5.11836E-05,0.026692258,0.13540627
27,0.187084615,0.000396786,0.241609629,0.01580531,0.015772245,0.044936018,0.055516979,0.340839202,0.033197765,0.009390603,0.024170883,3.30655E-05,0.027113712,0.004133188
28,0.21237176,0.000337473,0.247367711,0.000472462,0.005028348,0.052578294,0.073366631,0.312230022,0.000978672,0.013296436,0.028887689,0,0.010191685,0.042892819
29,0,0,0.013333333,0,0,0,0,0,0.986666667,0,0,0,0,0
30,0.172371703,0.000318421,0.142280953,0.000185745,0.009791434,0.042031524,0.096109961,0.377912222,0.020378921,0.005545826,0.021971024,5.30701E-05,0.014753489,0.096295707
41,0.03113001,0,0.192269857,0.092438041,0.034017707,0.025005553,0.048900454,0.415352394,0.002126107,0.032081998,0.110684479,0,0.011169993,0.004823406
42,0.036469528,0,0.223219857,0.145635443,0.015253415,0.026485475,0.046973584,0.238230604,0.009949386,0.021562782,0.190217014,0,0.017194758,0.028808154
43,0.004786365,0.000856098,0.18608452,0.114055569,0.005914857,0.03677329,0.11946455,0.234220562,0.062767531,0.021869406,0.169040392,7.78271E-05,0.04393338,0.000155654
44,0.000158028,0,0.077749684,0.160714286,0.000537295,0.050316056,0.058059418,0.185050569,0.282237674,0.009766119,0.166403287,3.16056E-05,0.008280657,0.000695322
45,6.33112E-05,0.000569801,0.107565685,0.051788541,0.004653371,0.036308959,0.075878443,0.363564419,0.052231719,0.05767648,0.189775245,0,0.059385882,0.000538145
47,0.000306314,0,0.039935674,0.068422866,0.001837883,0.046636291,0.074817169,0.453957193,0.22177126,0.017230157,0.052800858,0,0.020944213,0.001340123
48,6.70668E-05,0.000938936,0.025384796,0.130243788,0.000268267,0.129003052,0.022366789,0.243955602,0.295328795,0.049361188,0.098420576,0.001710204,0.002783274,0.000167667
50,0.000300238,0.000369524,0.149241322,0.043880921,0.007598328,0.078985658,0.09071803,0.375228065,0.098824453,0.029515693,0.109032541,0.000577381,0.014734751,0.000993095
52,0.000111847,0.000727008,0.06598999,0.18535917,2.79619E-05,0.07952353,0.086765652,0.340295836,0.146799765,0.043872158,0.043256997,0,0.004781478,0.002488606
53,3.27236E-05,0,0.034588828,0.075918715,0.001112602,0.089335384,0.071664649,0.449196636,0.025000818,0.109427665,0.099806931,0,0.043751432,0.000163618
55,0.000176878,0.000283006,0.089288241,0.073015424,0.005270978,0.012629121,0.09692939,0.309289656,0.074253573,0.08281449,0.178293477,0,0.077048252,0.000707514
56,0.020996584,0.001071596,0.057732235,0.108633045,0.004386846,0.098720782,0.197508539,0.250284643,0.074676847,0.032750653,0.139207019,3.34874E-05,0.008271382,0.005726341
57,0.02826739,0.000287604,0.065779202,0.041250668,0.00201323,0.127737376,0.264678089,0.239122396,0.01273676,0.037142035,0.11652081,0.000164345,0.03541641,0.028883685
60,0.201943374,0.000804155,0.05257162,0.044060982,0.001072206,0.04285475,0.081219635,0.299782208,0.01397219,0.019266209,0.027810353,3.35064E-05,0.02415815,0.190450662
70,0.128086998,0.00056249,0.078614668,0.0448117,0.001044624,0.02266031,0.163898859,0.276878984,0.004687416,0.069721969,0.045749183,0.003964215,0.050436599,0.108881984
71,0.028828585,0.000203018,0.178080801,0.040603641,0.00717331,0.079481627,0.159403126,0.375989714,0.001522637,0.009068146,0.065067334,0.000101509,0.028659403,0.025817148
80,0.222340709,0.000888652,0.109304186,0.045647087,0.020498238,0.03936728,0.08679167,0.220267188,0.007909002,0.0140407,0.056636749,0,0.028111022,0.148197518
81,0.127407142,0.000208669,0.049186192,0.139211829,0.000298098,0.019823526,0.018005127,0.320395874,0.109551064,0.016455017,0.040511536,0.000238479,0.034728433,0.123979014
82,0.019442702,0.000836245,0.099602784,0.027387032,0.002896993,0.030672281,0.179643401,0.455604337,0.001075172,0.059672072,0.092942687,0,0.011677568,0.018546725
83,0.000704084,0,0.117146114,0.051129887,0.003520418,0.052504526,0.121907061,0.395393281,0.010427144,0.018876148,0.201099712,0,0.026554013,0.000737611
84,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0
89,0.028998405,0.000185412,0.128935365,0.013609226,0.003448659,0.032595394,0.019653651,0.590054511,0.000111247,0.021619016,0.043163867,0,0.091222605,0.02640264
90,0.022513385,0.000232782,0.072993914,0.028831765,0.053007881,0.049649164,0.074723155,0.451232084,0,0.017259153,0.197532506,3.32546E-05,0.031492135,0.000498819
91,0.190087652,0.000565497,0.103607061,0.022741043,0.015712728,0.036474532,0.087207658,0.416811407,0,0.025972452,0.095649715,0,0.000323141,0.004847114
92,0.159020806,0.000672985,0.09329258,0.024928495,0.00426224,0.036004711,0.114183164,0.328697213,0.000364534,0.024928495,0.061690315,0.000841232,0.003449049,0.14766418
94,0.057520517,0,0.11783717,0.018047789,0.005447019,0.054797008,0.132180986,0.35990268,0.000290508,0.039400102,0.142385068,7.26269E-05,0.011801874,0.060316653
95,0.001993521,0.00074757,0.16010466,0.041407094,0.006188222,0.027950826,0.145693164,0.262521804,0.000789102,0.100922003,0.199892018,0,0.051416231,0.000373785
96,0.014940359,8.03245E-05,0.140367083,0.038555765,0.00658661,0.048475842,0.100084341,0.379131692,0,0.027872605,0.160126913,0,0.079802402,0.003976063
98,0.217500468,0,0.069514709,0.012516395,0.002698145,0.028367997,0.113359565,0.311748173,0.000487165,0.03387671,0.029941915,3.74742E-05,0.01645119,0.163500094
99,0.018138759,0.000699715,0.138301308,0.017143011,0.006082136,0.08245869,0.086226385,0.516685505,8.07363E-05,0.037676947,0.092981323,0,0.001480166,0.00204532
100,0,0,0.631578947,0.368421053,0,0,0,0,0,0,0,0,0,0
101,0.083278429,0.000362367,0.15008565,0.023092634,0.004414284,0.038015549,0.057945711,0.49005139,6.58848E-05,0.019666623,0.058176308,0,0.022664383,0.052180788
102,0.040012044,0.001204376,0.144458198,0.049178683,0.000836372,0.034425078,0.081931016,0.476397578,0.005252417,0.011374661,0.107457094,0.000100365,0.043758991,0.003613128
103,0.022047775,0.000306645,0.151206648,0.024991567,0.026524792,0.02910061,0.075250682,0.353898991,0.000183987,0.025727515,0.214988807,3.06645E-05,0.05915182,0.016589494
111,0.17167776,0.000229516,0.092121873,0.073932752,0.000229516,0.029865733,0.081908423,0.344330962,0.021803994,0.031328896,0.040394767,0,0.025504935,0.086670874
112,0.004802397,0,0.229854166,0.03824294,0.005419218,0.037978587,0.054456536,0.522976605,0.000396528,0.027889148,0.05934705,4.40587E-05,0.013790369,0.004802397
113,0,0,0.187012439,0.053939138,0.004392438,0.067116452,0.064129594,0.436010964,0.000140558,0.071790006,0.067502987,0.000281116,0.047684307,0
114,0.010571608,0.000398929,0.13178891,0.04530689,0.000883342,0.055593549,0.14720465,0.414287343,0.01145495,0.024334644,0.095286944,0,0.05234513,0.010543113
115,0.018102224,0.000207052,0.229768102,0.037003076,0.001538097,0.044427354,0.102963796,0.401561761,0.003667771,0.025970185,0.081814955,2.95788E-05,0.03469593,0.018250118
